Recency,Frequency,Monetary,Cluster,Segment
94,8,21863,1,Regular Shoppers
54,3,75497,1,Regular Shoppers
18,7,37743,1,Regular Shoppers
159,5,62125,1,Regular Shoppers
88,1,36999,1,Regular Shoppers
30,10,136470,3,Potential High-Value
51,7,73393,1,Regular Shoppers
36,8,114048,3,Potential High-Value
10,5,97395,3,Potential High-Value
15,6,60994,1,Regular Shoppers
31,7,45923,1,Regular Shoppers
609,2,71798,2,Churned Customers
5,19,237781,0,Loyal Customers
216,8,49172,1,Regular Shoppers
27,5,66095,1,Regular Shoppers
41,7,27893,1,Regular Shoppers
130,9,39091,1,Regular Shoppers
208,6,76794,1,Regular Shoppers
69,24,314197,0,Loyal Customers
137,5,32345,1,Regular Shoppers
107,15,177735,3,Potential High-Value
210,4,2196,1,Regular Shoppers
6,20,166936,3,Potential High-Value
129,10,41620,1,Regular Shoppers
60,6,128794,3,Potential High-Value
57,25,164605,0,Loyal Customers
261,3,4297,2,Churned Customers
224,5,107795,1,Regular Shoppers
83,5,47095,1,Regular Shoppers
45,4,43996,1,Regular Shoppers
61,10,44140,1,Regular Shoppers
157,9,140041,3,Potential High-Value
17,6,10994,1,Regular Shoppers
57,17,175043,3,Potential High-Value
19,6,48674,1,Regular Shoppers
407,4,3246,2,Churned Customers
431,4,90062,2,Churned Customers
138,8,112992,3,Potential High-Value
26,9,133057,3,Potential High-Value
26,24,192006,0,Loyal Customers
124,8,44304,1,Regular Shoppers
100,4,93796,1,Regular Shoppers
677,1,2499,2,Churned Customers
135,9,55491,1,Regular Shoppers
144,9,42842,1,Regular Shoppers
115,4,9546,1,Regular Shoppers
48,10,118390,3,Potential High-Value
52,17,127544,3,Potential High-Value
115,5,28695,1,Regular Shoppers
15,9,119191,3,Potential High-Value
113,15,81196,3,Potential High-Value
141,18,204732,3,Potential High-Value
23,16,126555,3,Potential High-Value
225,8,25092,1,Regular Shoppers
4,27,210873,0,Loyal Customers
50,21,192359,0,Loyal Customers
97,6,47855,1,Regular Shoppers
90,8,50492,1,Regular Shoppers
149,8,70492,1,Regular Shoppers
34,5,44895,1,Regular Shoppers
